airbus_primary,airbus_primary
airbus_projected,airbus_projected
airbus_ortho,airbus_ortho
albedo_photogrammetry_ready,albedo_photogrammetry_ready
albedo_view_ready,albedo_view_ready
albedo_analysis_ready,albedo_analysis_ready
maxar_system-ready_(basic)_1b,maxar_system-ready_(basic)_1b
maxar_system-ready_stereo_(basic)_1b,maxar_system-ready_stereo_(basic)_1b
maxar_view-ready_(standard)_or2a,maxar_view-ready_(standard)_or2a
maxar_view-ready_stereo_(standard)_or2a,maxar_view-ready_stereo_(standard)_or2a
maxar_view-ready_(standard)_2a,maxar_view-ready_(standard)_2a
"maxar_map-ready_(ortho)_1:12,000","maxar_map-ready_(ortho)_1:12,000"
planet_skysat_basic_scene,planet_skysat_basic_scene
planet_skysat_ortho_scene,planet_skysat_ortho_scene
planet_skysat_ortho_collect,planet_skysat_ortho_collect
